,Temp (oC),pH,SEC (µS/cm),Turbidity (<NTU),Total Iron (mg/l),Titration 1,Titration 2,N_VALUE,Tryptophan_Probe_µgL,Final HCO3
0,22.4,6.8149999999999995,31.56,0.08,-0.007,28.0,26.0,0.16,0.1,10.3620626600024
1,22.4,5.51,46.96,0.08,-0.003,41.0,44.0,0.16,0.1,14.5068877240034
2,23.1,5.65,59.19,0.11,-0.001,44.0,46.0,0.16,0.1,17.3107399731805
3,23.3,5.68,73.56,0.12,0.0,50.0,48.0,0.16,0.1,19.2612458856516
4,23.4,5.81,78.68,0.14,0.0,50.0,49.0,0.16,0.1,21.2117517981226
5,23.4,5.86,83.34,0.14,0.0,51.0,50.0,0.16,0.1,25.7222967207119
6,23.6,5.91,83.5,0.15,0.0,52.0,51.0,0.16,0.16,26.3318298183591
7,23.6,5.92,88.95,0.15,0.0,53.0,52.0,0.16,0.18000000000000002,30.2328416433012
8,23.6,5.95,89.65,0.15,0.0,54.0,54.0,0.16,0.2,30.720468121419
9,23.8,5.99,97.11,0.16,0.0,57.0,54.0,0.16,0.2,32.9147872729489
10,23.8,6.0,101.4,0.16,0.0,58.0,54.0,0.16,0.2,32.9147872729489
11,23.9,6.0,104.6,0.16,0.0,60.0,55.0,0.16,0.2,33.6462269901256
12,23.9,6.0,105.2,0.16,0.0,64.0,55.0,0.16,0.2,35.4748262830672
13,23.9,6.01,111.0,0.17,0.0,65.0,58.0,0.16,0.2,36.3281726197733
14,24.0,6.03,115.2,0.17,0.0,66.0,61.0,0.16,0.2,38.5224917713032
15,24.0,6.03,117.9,0.17,0.0,67.0,65.0,0.16,0.2,39.1320248689504
16,24.0,6.03,123.7,0.17,0.0,70.0,72.0,0.16,0.2,40.3510910642448
17,24.0,6.07,138.5,0.18,0.0,71.0,74.0,0.16,0.2,40.4729976837742
18,24.1,6.08,139.6,0.18,0.0,72.0,75.0,0.16,0.2,43.5206631720102
19,24.1,6.09,144.5,0.19,0.0,73.0,75.0,0.16,0.2,44.008289650128
20,24.1,6.1,146.4,0.19,0.0,80.0,78.0,0.16,0.2,44.1301962696574
21,24.1,6.1,159.6,0.2,0.0,80.0,79.0,0.16,0.2,44.4959161282458
22,24.1,6.1,161.5,0.2,0.0,82.0,84.0,0.16,0.2,45.7149823235402
23,24.2,6.11,171.2,0.21,0.0,83.0,91.0,0.16,0.2,48.5188345727173
24,24.2,6.17,171.9,0.21,0.0,94.0,97.0,0.16,0.2,48.6407411922467
25,24.3,6.17,173.8,0.21,0.0,95.0,100.0,0.16,0.2,50.7131537242472
26,24.3,6.18,178.9,0.21,0.0,98.0,100.0,0.16,0.2,53.7608192124832
27,24.4,6.19,180.0,0.22,0.0,103.0,104.0,0.16,0.2,54.8579787882482
28,24.4,6.22,181.8,0.22,0.0,107.0,105.0,0.16,0.2,56.1989516030721
29,24.4,6.22,183.2,0.24,0.0,109.0,108.0,0.16,0.2,57.4180177983665
30,24.4,6.23,185.7,0.24,0.0,110.0,109.0,0.16,0.2,59.4904303303669
31,24.5,6.25,188.8,0.24,0.0,111.0,113.0,0.16,0.22000000000000003,59.9780568084847
32,24.6,6.25,194.7,0.24,0.0,113.0,114.0,0.16,0.22000000000000003,63.1476289162502
33,24.6,6.25,203.5,0.25,0.0,114.0,115.0,0.16,0.24,64.0009752529562
34,24.6,6.26,203.5,0.25,0.0,116.0,115.0,0.16,0.24,65.8295745458978
35,24.6,6.27,207.2,0.25,0.0,119.0,116.0,0.16,0.24000000000000005,66.439107643545
36,24.6,6.32,208.7,0.26,0.0,123.0,117.0,0.16,0.25999999999999995,67.0486407411923
37,24.7,6.33,218.9,0.27,0.0,124.0,118.0,0.16,0.25999999999999995,67.7800804583689
38,24.7,6.36,219.8,0.28,0.0,125.0,119.0,0.16,0.25999999999999995,72.2906253809582
39,24.7,6.38,227.4,0.28,0.0,129.0,121.0,0.16,0.26,75.2163842496648
40,24.7,6.42,229.8,0.28,0.0,129.0,125.0,0.16,0.26000000000000006,76.0697305863709
41,24.8,6.43,230.1,0.28,0.0,130.0,126.0,0.16,0.27999999999999997,78.0202364988419
42,24.8,6.45,230.8,0.28,0.0,134.0,128.0,0.16,0.28,80.5802755089601
43,24.8,6.46,237.6,0.28,0.0,134.0,128.0,0.16,0.28,84.8470071924906
44,24.8,6.46,243.3,0.28,0.0,135.0,132.0,0.16,0.28,87.6508594416677
45,24.8,6.51,247.3,0.28,0.0,135.0,135.0,0.16,0.29999999999999993,91.064244788492
46,24.9,6.52,259.1,0.28,0.0,138.0,136.0,0.16,0.3,91.3080580275509
47,24.9,6.53,263.9,0.28,0.0,138.0,137.0,0.16,0.3,92.0394977447275
48,24.9,6.53,268.1,0.28,0.0,139.0,137.0,0.16,0.3,93.9900036571986
49,24.9,6.54,271.9,0.29,0.0,139.0,139.0,0.16,0.3,94.111910276728
50,24.9,6.55,284.7,0.29,0.0,140.0,141.0,0.16,0.3,94.4776301353164
51,25.0,6.58,285.0,0.3,0.0,141.0,144.0,0.16,0.3,96.5500426673168
52,25.1,6.6,293.6,0.3,0.0,142.0,145.0,0.16,0.3,97.6472022430818
53,25.2,6.6,307.0,0.3,0.0,144.0,150.0,0.16,0.3,98.5005485797879
54,25.2,6.62,307.9,0.3,0.0,144.0,151.0,0.16,0.3,98.7443618188468
55,25.2,6.62,311.5,0.3,0.0,150.0,154.0,0.16,0.3,101.670120687553
56,25.2,6.63,314.8,0.3,0.0,152.0,154.0,0.16,0.3,102.767280263318
57,25.2,6.64,318.8,0.3,0.0,156.0,155.0,0.16,0.3,109.106424478849
58,25.2,6.64,319.8,0.31,0.0,160.0,155.0,0.16,0.3,109.715957576496
59,25.3,6.65,325.8,0.31,0.0,160.0,159.0,0.16,0.3,109.959770815555
60,25.3,6.67,330.0,0.31,0.002,161.0,160.0,0.16,0.3,111.788370108497
61,25.4,6.68,332.4,0.33,0.002,162.0,163.0,0.16,0.3,114.470315738145
62,25.5,6.68,334.6,0.33,0.003,166.0,164.0,0.16,0.3,116.420821650616
63,25.5,6.7,339.5,0.33,0.003,167.0,165.0,0.16,0.3,120.687553334146
64,25.6,6.7,341.0,0.34,0.003,167.0,167.0,0.16,0.3,121.90661952944
65,25.6,6.72,353.7,0.34,0.005,168.0,167.0,1.6,0.3,123.125685724735
66,25.6,6.73,353.7,0.35,0.005,172.0,170.0,1.6,0.3,123.125685724735
67,25.6,6.73,355.3,0.35,0.005,177.0,174.0,1.6,0.3,126.539071071559
68,25.8,6.73,363.6,0.36,0.006,177.0,180.0,1.6,0.3,127.514324027795
69,25.8,6.74,367.9,0.36,0.006,179.0,180.0,1.6,0.31999999999999995,129.221016701207
70,26.1,6.76,370.3,0.36,0.007,180.0,182.0,1.6,0.31999999999999995,130.074363037913
71,26.1,6.76,375.2,0.37,0.007,180.0,182.0,1.6,0.31999999999999995,130.440082896501
72,26.2,6.76,387.1,0.37,0.008,181.0,188.0,1.6,0.36,133.731561623796
73,26.2,6.76,391.1,0.38,0.008,185.0,188.0,1.6,0.36,135.925880775326
74,26.3,6.77,409.6,0.38,0.008,187.0,191.0,1.6,0.4,136.535413872973
75,26.3,6.78,415.0,0.38,0.009,189.0,193.0,1.6,0.4,137.754480068268
76,26.4,6.79,418.5,0.39,0.01,194.0,193.0,1.6,0.4,140.192612458857
77,26.5,6.79,431.0,0.39,0.01,195.0,196.0,1.6,0.4,140.192612458857
78,26.5,6.79,432.1,0.39,0.01,195.0,199.0,1.6,0.4,146.287943435329
79,26.5,6.79,441.2,0.39,0.01,198.0,200.0,1.6,0.4,148.11654272827
80,26.6,6.81,447.3,0.4,0.01,198.0,201.0,1.6,0.4,156.040472997684
81,26.6,6.82,451.5,0.4,0.01,199.0,204.0,1.6,0.41999999999999993,157.259539192978
82,26.6,6.82,467.8,0.41,0.01,206.0,210.0,1.6,0.4800000000000001,158.478605388273
83,26.7,6.83,469.0,0.42,0.01,209.0,210.0,1.6,0.4800000000000001,158.722418627331
84,26.7,6.83,476.5,0.42,0.01,210.0,210.0,1.6,0.5,164.452029745215
85,26.7,6.84,479.0,0.42,0.01,211.0,212.0,1.6,0.5,165.061562842862
86,26.7,6.87,484.1,0.44,0.01,212.0,215.0,1.6,0.5,176.52078507863
87,26.7,6.87,486.4,0.45,0.01,218.0,220.0,1.6,0.5,176.764598317689
88,26.7,6.88,487.0,0.46,0.01,220.0,221.0,1.6,0.5,179.202730708277
89,26.7,6.9,491.0,0.46,0.01,226.0,221.0,1.6,0.5,185.298061684749
90,26.8,6.92,493.1,0.47,0.01,228.0,223.0,1.6,0.5,187.736194075338
91,26.8,6.93,509.2,0.48,0.01,228.0,230.0,1.6,0.5,188.955260270633
92,26.8,6.93,513.9,0.49,0.01,229.0,231.0,1.6,0.5,198.463976593929
93,26.8,6.94,516.1,0.5,0.01,229.0,233.0,1.6,0.5,200.170669267341
94,26.9,6.94,522.6,0.5,0.01,230.0,236.0,1.6,0.5,200.658295745459
95,26.9,6.96,526.7,0.51,0.01,244.0,241.0,1.6,0.5,202.364988418871
96,26.9,6.96,533.0,0.52,0.01,246.0,241.0,1.6,0.52,210.045105449226
97,27.0,6.96,534.6,0.52,0.01,247.0,242.0,1.6,0.52,211.507984883579
98,27.0,6.97,540.5,0.53,0.01,251.0,244.0,1.6,0.5399999999999999,211.995611361697
99,27.0,6.97,551.9,0.56,0.01,252.0,260.0,1.6,0.54,213.336584176521
100,27.0,6.98,552.6,0.59,0.01,253.0,262.0,1.6,0.54,215.530903328051
101,27.0,6.98,578.3,0.59,0.01,265.0,265.0,1.6,0.54,236.498841887114
102,27.1,6.99,586.7,0.6,0.01,270.0,268.0,1.6,0.54,237.717908082409
103,27.1,7.0,597.3,0.61,0.01,274.0,270.0,1.6,0.54,237.717908082409
104,27.1,7.0,602.0,0.61,0.01,277.0,273.0,1.6,0.6,263.318298183591
105,27.1,7.01,604.0,0.62,0.01,283.0,274.0,1.6,0.6,264.537364378886
106,27.2,7.01,612.0,0.62,0.01,284.0,274.0,1.6,0.6199999999999999,274.289893941241
107,27.2,7.02,625.4,0.62,0.01,286.0,276.0,1.6,0.62,276.72802633183
108,27.2,7.02,657.0,0.64,0.01,286.0,285.0,1.6,0.6399999999999999,280.385224917713
109,27.2,7.03,665.1,0.65,0.01,289.0,290.0,1.6,0.64,284.042423503596
110,27.2,7.04,673.2,0.65,0.011,293.0,290.0,1.6,0.64,285.261489698891
111,27.2,7.05,673.3,0.66,0.011,296.0,300.0,1.6,0.66,296.23308545654
112,27.3,7.06,674.7,0.67,0.013,298.0,300.0,1.6,0.6799999999999999,301.109350237718
113,27.3,7.06,676.8,0.7,0.013,303.0,308.0,1.6,0.6799999999999999,302.328416433012
114,27.3,7.06,680.7,0.7,0.013,305.0,310.0,1.6,0.6799999999999999,310.861879800073
115,27.3,7.07,681.5,0.72,0.014,310.0,314.0,1.6,0.7,314.519078385956
116,27.4,7.07,694.1,0.72,0.016,316.0,317.0,1.6,0.7,330.366938924784
117,27.4,7.08,706.0,0.74,0.017,318.0,321.0,1.6,0.7,331.586005120078
118,27.4,7.08,707.5,0.75,0.017,320.0,322.0,1.6,0.7,335.243203705961
119,27.5,7.08,713.6,0.77,0.018,324.0,330.0,1.6,0.7,338.900402291844
120,27.6,7.12,763.6,0.78,0.018,328.0,332.0,1.6,0.7,348.6529318542
121,27.6,7.12,769.5,0.79,0.02,328.0,333.0,1.6,0.7,352.310130440083
122,27.6,7.13,775.0,0.8,0.02,346.0,350.0,1.6,0.7,369.377057174205
123,27.6,7.13,787.4,0.81,0.02,355.0,364.0,1.6,0.7,371.815189564793
124,27.6,7.15,792.8,0.82,0.02,367.0,368.0,1.6,0.7,391.320248689504
125,27.6,7.15,798.0,0.84,0.02,372.0,373.0,1.6,0.7,393.758381080093
126,27.6,7.18,803.7,0.87,0.02,376.0,375.0,1.6,0.7,397.415579665976
127,27.6,7.19,810.7,0.92,0.02,380.0,375.0,1.6,0.72,398.63464586127
128,27.7,7.19,815.0,0.92,0.02,381.0,386.0,1.6,0.72,398.63464586127
129,27.7,7.22,828.0,0.93,0.02,383.0,388.0,1.6,0.72,413.263440204803
130,27.7,7.22,843.0,0.97,0.02,386.0,391.0,1.6,0.76,431.549433134219
131,27.7,7.22,864.0,1.02,0.02,400.0,394.0,1.6,0.8,447.397293673046
132,27.7,7.23,901.3,1.02,0.02,401.0,396.0,1.6,0.8,457.149823235402
133,27.8,7.26,906.1,1.05,0.02,403.0,405.0,1.6,0.8,463.245154211874
134,27.9,7.29,914.9,1.05,0.02,405.0,410.0,1.6,0.8,471.778617578935
135,27.9,7.3,973.01,1.1,0.02,420.0,414.0,1.6,0.9,472.997683774229
136,27.9,7.3,980.7,1.12,0.02,423.0,420.0,1.6,0.9,485.188345727173
137,28.0,7.33,1025.0,1.19,0.02,450.0,426.0,1.6,0.9199999999999999,486.407411922467
138,28.0,7.33,1053.0,1.22,0.02,459.0,452.0,1.6,0.9199999999999999,512.00780202365
139,28.1,7.34,1062.0,1.25,0.021,469.0,458.0,1.6,0.96,514.445934414239
140,28.2,7.34,1072.0,1.27,0.021,470.0,469.0,1.6,1.0,515.665000609533
141,28.2,7.39,1095.0,1.29,0.0216,471.0,484.0,1.6,1.0,516.884066804828
142,28.2,7.4,1100.0,1.35,0.024,512.0,518.0,1.6,1.0,537.608192124832
143,28.2,7.41,1119.0,1.38,0.026,520.0,530.0,1.6,1.0,543.703523101304
144,28.2,7.42,1148.0,1.42,0.026,521.0,534.0,1.6,1.0,559.551383640132
145,28.3,7.43,1148.0,1.5,0.03,537.0,550.0,1.6,1.0,559.551383640132
146,28.3,7.43,1160.0,1.54,0.03,545.0,570.0,1.6,1.0,588.808972327197
147,28.3,7.45,1197.0,0.4,0.03,570.0,576.0,1.6,1.0,594.904303303669
148,28.3,7.51,1250.0,0.4,0.031,610.0,605.0,1.6,1.0,626.600024381324
149,28.4,7.54,1258.0,0.4,0.037,198.5,641.0,1.6,1.1,663.172010240156
150,28.5,7.58,1272.0,0.4,0.04,198.5,202.5,1.6,1.3,685.115201755455
151,28.6,7.58,1286.0,0.4,0.04,198.5,202.5,1.6,1.3,692.429598927222
152,28.6,7.59,1318.0,0.4,0.04,198.5,202.5,1.6,0.41,694.86773131781
153,28.6,7.6,1370.0,0.4,0.01,198.5,202.5,1.6,0.41,699.743996098988
154,28.7,7.64,1393.0,0.4,0.01,198.5,202.5,1.6,0.41,702.182128489577
155,28.7,7.65,1554.0,0.4,0.01,198.5,202.5,1.6,0.41,729.001584786054
156,28.7,7.65,449.4,0.4,0.01,198.5,202.5,1.6,0.41,749.725710106059
157,28.7,7.65,449.4,0.4,0.01,198.5,202.5,1.6,0.41,156.65000609533098
158,29.0,7.69,449.4,0.4,0.01,198.5,202.5,1.6,0.41,156.65000609533098
159,29.1,7.75,449.4,0.4,0.01,198.5,202.5,1.6,0.41,156.65000609533098
160,29.2,7.77,449.4,0.4,0.01,198.5,202.5,1.6,0.41,156.65000609533098
161,29.9,7.98,449.4,0.4,0.01,198.5,202.5,1.6,0.41,156.65000609533098
